飘,https://book.douban.com/subject/1068920/,9.3,79468人评价,革命时期的爱情，随风而逝
送你一颗子弹,https://book.douban.com/subject/4238362/,8.6,89771人评价,犀利又温柔，穿过胸口隐隐作痛
三体Ⅲ,https://book.douban.com/subject/5363767/,9.2,89445人评价,终章，何去何从
天才在左 疯子在右,https://book.douban.com/subject/4242172/,8.2,93573人评价,简称“疯癫与文明”
傲慢与偏见,https://book.douban.com/subject/1083428/,8.8,86206人评价,所有现代言情小说的母体
倾城之恋,https://book.douban.com/subject/1090043/,8.5,88782人评价,一段姻缘，需要一座城的倾覆来成全
三重门,https://book.douban.com/subject/1026425/,7.4,96185人评价,“我是金子，我要发光的”
杜拉拉升职记,https://book.douban.com/subject/2256039/,7.8,89642人评价,职场丛林生存手册
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,8.7,83819人评价,历史本就是一件件“事儿”拼成的
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,8.9,74105人评价,小天狼星布莱克
目送,https://book.douban.com/subject/3995526/,8.7,82096人评价,不必追
情人,https://book.douban.com/subject/1400705/,8.1,86081人评价,我已经老了，你呢？
哈利·波特与密室,https://book.douban.com/subject/1039487/,8.9,71702人评价,渐入佳境，魔法世界全貌初现
万历十五年,https://book.douban.com/subject/1041482/,8.9,62522人评价,见微知著，历史观的颠覆
我们仨,https://book.douban.com/subject/1023045/,8.7,81099人评价,平淡，坚忍，温情
幻城,https://book.douban.com/subject/1059406/,7.0,90825人评价,如今的小四已经无法评价，往事犹可追
致我们终将逝去的青春,https://book.douban.com/subject/2209098/,7.8,81687人评价,青春总是用残忍的方式提醒你它已退场
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,8.3,78600人评价,村上的野望，欢迎来到1Q84年
狼图腾,https://book.douban.com/subject/1022060/,8.3,78249人评价,我们都是 狼的传人？
微微一笑很倾城,https://book.douban.com/subject/3879301/,8.0,78692人评价,一场盛大的意淫
独唱团（第一辑）,https://book.douban.com/subject/4886245/,7.8,80264人评价,独唱的人多了，也便成了团
莲花,https://book.douban.com/subject/1529893/,8.0,78062人评价,三个生命的交逢，灵魅清冷
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,9.0,71823人评价,整个系列的分水岭，暗色渐浓
边城,https://book.douban.com/subject/1057244/,8.6,71269人评价,如水一般的忧愁与怅惘
月亮和六便士,https://book.douban.com/subject/1858513/,9.0,73032人评价,有多少人会经历顿悟，就有更少的人甘愿自我放逐
向左走·向右走,https://book.douban.com/subject/1066462/,8.4,71080人评价,两条平行线相遇的可能
活着,https://book.douban.com/subject/4913064/,9.3,75292人评价,生的苦难与伟大
穆斯林的葬礼,https://book.douban.com/subject/1082334/,8.2,71612人评价,时代烙印鲜明的民族史诗
从你的全世界路过,https://book.douban.com/subject/25747921/,7.1,79781人评价,戳中了现代人的某些柔软之处
悲伤逆流成河,https://book.douban.com/subject/2062200/,6.2,85271人评价,少年不识愁滋味
恶意,https://book.douban.com/subject/3646172/,8.4,71723人评价,无缘由的恨，冰冷彻骨
天龙八部,https://book.douban.com/subject/1255625/,9.1,56989人评价,“有情皆孽，无人不冤”
放学后,https://book.douban.com/subject/4074636/,7.6,76560人评价,东野圭吾处女作
Harry Potter and the Deathly Hallows,https://book.douban.com/subject/1975797/,8.9,7115人评价,final episode
长安乱,https://book.douban.com/subject/1049219/,7.4,74001人评价,韩少也会借古喻今了
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,8.8,62908人评价,感情线纷乱的一部。再见邓布利多
一个人的好天气,https://book.douban.com/subject/2250587/,7.6,71596人评价,冬日暖阳的温煦感
苏菲的世界,https://book.douban.com/subject/1045818/,8.5,63116人评价,最平易近人的哲学入门
许三观卖血记,https://book.douban.com/subject/1029791/,8.7,63749人评价,余华的悲凉，都在那一碗炒猪肝里了
1995-2005夏至未至,https://book.douban.com/subject/1049189/,7.3,68660人评价,当青春遁入歧途
撒哈拉的故事,https://book.douban.com/subject/1361264/,9.0,60921人评价,关于漂泊的一切
盗墓笔记,https://book.douban.com/subject/1948901/,8.3,63007人评价,想象奇诡的大型RPG游戏
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9.0,64716人评价,义无反顾地直达爱情的核心
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,8.7,59462人评价,暴脾气的哈利
喜宝,https://book.douban.com/subject/2022979/,8.1,44514人评价,爱情才是终极的奢侈品
岛上书店,https://book.douban.com/subject/26340138/,7.6,73824人评价,爱书的人从不孤独
三生三世 十里桃花,https://book.douban.com/subject/3426869/,7.9,68545人评价,大风刮过有话要说
海边的卡夫卡,https://book.douban.com/subject/1059419/,8.1,62229人评价,背负诅咒的少年，平行世界中的奥德赛
文化苦旅,https://book.douban.com/subject/1050339/,7.8,64820人评价,“历史文化散文”
基督山伯爵,https://book.douban.com/subject/1085860/,9.0,51875人评价,完美的复仇，金庸用法语写作应该就是这样
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,59157人评价,真正懂孩子的教育经
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.2,55529人评价,是非成败转头空
黄金时代,https://book.douban.com/subject/1089243/,8.8,58931人评价,能把性爱写得如此坦荡的，大概只有王二了
悟空传,https://book.douban.com/subject/1003000/,8.4,61150人评价,猴子还是那个猴子，世界早已不是原来的世界
兄弟（上）,https://book.douban.com/subject/1401425/,8.3,58751人评价,历史苦难中的个人灾变
呼啸山庄,https://book.douban.com/subject/1119522/,8.4,58074人评价,近乎暴虐的爱与恨，中文译名后无来者
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9.0,50563人评价,武侠的壳，政治斗争的核
少有人走的路,https://book.douban.com/subject/1775691/,8.4,56365人评价,成熟的心智通向更完善的自我
民主的细节,https://book.douban.com/subject/3813669/,8.6,54333人评价,公民养成手册
亲爱的安德烈,https://book.douban.com/subject/3369793/,8.7,54706人评价,龙应台母子对话，两代人的思想碰撞
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,53867人评价,唯有希望与爱可以驱散阴霾
老人与海,https://book.douban.com/subject/1064275/,8.3,55348人评价,正是悲壮赋予生活以意义
遇见未知的自己,https://book.douban.com/subject/2340100/,8.1,54745人评价,都市灵修速成
一九八四·动物农场,https://book.douban.com/subject/1082387/,9.3,24872人评价,一个预言和一个寓言，令人窒息的政治恐怖
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.6,54819人评价,你自己就是最大的宝藏
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.2,49000人评价,侦探小说鼻祖
小时代1.0折纸时代,https://book.douban.com/subject/3191328/,6.5,60789人评价,温习了很多奢侈品品牌名称
洛丽塔,https://book.douban.com/subject/1465324/,7.7,54710人评价,我的生命之光，我的欲望之火
百年孤独,https://book.douban.com/subject/1786670/,8.9,47845人评价,拉丁美洲圣经
1Q84 BOOK 2,https://book.douban.com/subject/4885241/,8.4,50777人评价,情节铺展渐次清明，高潮序曲
素年锦时,https://book.douban.com/subject/2256438/,7.8,52004人评价,呢喃自语，清简自持
情书,https://book.douban.com/subject/1080370/,8.6,48293人评价,一场误会中的两段爱情，东方式的含蓄隐忍
第一次的亲密接触,https://book.douban.com/subject/1024217/,7.4,52848人评价,那时候，去麦当劳约会还很高端……
神雕侠侣,https://book.douban.com/subject/1255624/,8.8,46157人评价,至情至性，情大于武
一座城池,https://book.douban.com/subject/1453210/,7.4,52313人评价,可能是韩寒最好笑的小说
茶花女,https://book.douban.com/subject/1013380/,8.2,49549人评价,妓女应当拥有爱情吗？
麦田里的守望者,https://book.douban.com/subject/1082518/,7.9,51110人评价,塞林格的麦田里，到处是坠落的青春
他的国,https://book.douban.com/subject/3394338/,7.5,50772人评价,总有光芒将你引导到清澈的地方
彼岸花,https://book.douban.com/subject/1065970/,7.8,48639人评价,安妮宝贝第一部长篇，现实与虚构的重合
西决,https://book.douban.com/subject/3598313/,7.9,47894人评价,无关风月的非典型青春小说
东方快车谋杀案,https://book.douban.com/subject/1827374/,9.0,38979人评价,谋杀诡计惊人，波洛的抉择耐人寻味
挪威的森林,https://book.douban.com/subject/2159042/,8.5,48134人评价,初读是色情，再读是爱情，三读是世情
这些都是你给我的爱,https://book.douban.com/subject/4714734/,8.4,44378人评价,只言片语的温暖
这些人，那些事,https://book.douban.com/subject/6388661/,8.8,43438人评价,平淡叙述下的惊心动魄
八月未央,https://book.douban.com/subject/1029159/,7.5,48291人评价,八月是一阵季风，生命是一场幻觉
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,8.1,46210人评价,村上同志告诉我们，身体是革命的本钱
明朝那些事儿（贰）,https://book.douban.com/subject/1949338/,8.9,42436人评价,万国来朝与北京保卫战，燃
清醒纪,https://book.douban.com/subject/1030052/,7.9,45060人评价,遗忘就和记得一样是送给彼此的纪念
一个陌生女人的来信,https://book.douban.com/subject/2154960/,8.7,44279人评价,暗恋的极致
蔡康永的说话之道,https://book.douban.com/subject/5317075/,7.2,49431人评价,会说话的人运气都不会太差
偷影子的人,https://book.douban.com/subject/10763902/,7.8,51378人评价,为偷来的影子找到光芒
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,8.4,42448人评价,真正的片段式写作
沉默的大多数,https://book.douban.com/subject/1054685/,9.1,41934人评价,沉默是沉默者的通行证
白鹿原,https://book.douban.com/subject/1085799/,8.6,43903人评价,中国乡村史诗
芒果街上的小屋,https://book.douban.com/subject/1794620/,7.8,44360人评价,那些微尘般漂浮的生活
羊脂球,https://book.douban.com/subject/1205370/,8.1,43685人评价,资产阶级的道貌岸然
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,8.0,44502人评价,最早的荒野求生
灌篮高手31,https://book.douban.com/subject/1221515/,9.5,27012人评价,全剧终
撒哈拉的故事,https://book.douban.com/subject/1060068/,9.2,38810人评价,游荡的自由灵魂
巴黎圣母院,https://book.douban.com/subject/1024197/,8.3,42197人评价,潜藏于残缺下的美与崇高
肖申克的救赎,https://book.douban.com/subject/1829226/,9.1,38961人评价,希望让人自由，电影实在太有名
麦田里的守望者,https://book.douban.com/subject/2053249/,8.1,42648人评价,反英雄霍尔顿的一生
无声告白,https://book.douban.com/subject/26382433/,8.2,45752人评价,莉迪亚死了，可他们还不知道
嫌疑人X的献身,https://book.douban.com/subject/4117922/,9.0,38724人评价,东野说，这是最纯粹的爱情
山楂树之恋,https://book.douban.com/subject/2243213/,7.8,41150人评价,明净单纯
华胥引（全二册）,https://book.douban.com/subject/5916880/,8.5,39586人评价,现实不如梦中的圆满
地下铁,https://book.douban.com/subject/1056733/,8.3,39530人评价,黑暗世界中的点滴亮光
且听风吟,https://book.douban.com/subject/1039752/,7.8,42311人评价,我们通过孤独与世界沟通
钢铁是怎样炼成的,https://book.douban.com/subject/1013502/,7.6,43254人评价,激情燃烧的岁月，特殊年代的经典
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,8.4,39797人评价,蚊子血还是饭黏子？
人生若只如初见,https://book.douban.com/subject/1856285/,7.2,43125人评价,是“何事秋风悲画扇”，不是西风
人间失格,https://book.douban.com/subject/4011670/,8.3,44223人评价,令人无从怜悯的绝望
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,8.1,40023人评价,盗墓祖师名不虚传
安徒生童话故事集,https://book.douban.com/subject/1046209/,9.2,35798人评价,远不是童话那么简单
呐喊,https://book.douban.com/subject/1449351/,8.8,37433人评价,新文学的第一声呐喊
小团圆,https://book.douban.com/subject/3616310/,7.6,40825人评价,自传性作品，团圆只存在幻灭之中
泡沫之夏,https://book.douban.com/subject/1596305/,6.9,42606人评价,霸道总裁爱上我
会有天使替我爱你,https://book.douban.com/subject/1291760/,6.6,43602人评价,理想化
1984,https://book.douban.com/subject/4820710/,9.3,40860人评价,栗树荫下，我出卖你，你出卖我
年华是无效信,https://book.douban.com/subject/1227838/,7.6,39374人评价,女生间的微妙友谊
幻夜,https://book.douban.com/subject/4009552/,7.5,42398人评价,《白夜行》续篇，恶的幻夜吞噬一切
在路上,https://book.douban.com/subject/1917972/,7.8,38762人评价,我们非去不可，在到达之前，永不停止
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,8.9,33043人评价,侠之大者，为国为民
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,9.1,36664人评价,不拘一格的历史书写
